full_text	label_promo	label_category
@tokopedia jam 19.00 voucher yang ditunggu jelas promo diskon 30% sama extra diskon s/d 200k #tokopediahappyhour	1	6
@tokopedia Jam 19.00-20.00 dan Promo yang paling ditunggu-tunggu di Tokopedia Happy Hour yaitu Diskon 30% plus extra potongan harga hingga 200ribu dan bebas Ongkir #tokopediahappyhour	1	6
@tokopedia jam 19.00-20.00 WIB. Paling ditunggu tuh promo diskon sampe 30% trs ada ekstra promo sampai 200k. ditambah ADA GRATIS ONGKIR ini sngat membantuku buat belanja skincare krna ongkir kerumah mahal eh jdi HAPPY POLL belanja di @tokopedia #tokopediahappyhour bismillah menang https://t.co/8AiN7sBxuE	1	6
@tokopedia jam 19-20 WIB. Paling ditunggu promo diskon smpe 30% trs ada ekstra promo s.d 200k. ada GRATIS ONGKIR. pokoknya makasih bnyk @tokopedia buat promonya tiap bulan. aku sungguhan jdi bisa hemat bnyk uang makanya tiap bulan slalu checkout SE-PROMO ITU #tokopediahappyhour https://t.co/ZT69h7u9d2	1	6
@tokopedia Jam tokopedia happy hour yang selalu saya tunggu2 seklai adalah jam 00.00 10.00 12.00 19.00 dan 20.00 WIB alias waktu indonesia bagian belanja soalnya promo nya banyak bangett dan promo yg aku tunggu itu promo diskon 30% + extra diskon s.d 200rb #tokopediahappyhour https://t.co/reGvRGqKyB	1	6
@tokopedia KAMU NANYA PROMO APA YG AKU TUNGGU TAPI TUNGGU DULU JANGAN TERBURU YAUDAH DEH AKU KASI TAU TOKOPEDIA HAPPY HOUR Promo yg ku tunggu DISKON 30% + EKSTRA DISKON Di JAM 19.00 - 20.00 WIB #tokopediahappyhour	1	6
@tokopedia Mulai dari jam 19.00 -20.00 promo diskon 30 % buat belanja #tokopediahappyhour	1	6
@tokopedia Mulainya jam 19.00 WIB kalau promo nungguin diskon 30% + extra diskon s.d 200.000. Bebas Ongkirnya juga nggak lupa broooo... Lirik aku MinTo... #tokopediahappyhour https://t.co/nPzpcnX95i	1	6
@tokopedia Promo 10x Flash Sale serba 10 ribu. Dijamin diskon sampai dengan 50% #PromoGuncangTokopedia	1	6
@tokopedia Promo guncang 10.10 dijamin dapet Promo 10x Flash Sale serba 10rb dan Bebas Ongkir Rp.0 berkali-kali serta dijamin dapat Diskon hingga 50% dan bisa dapet diskon hingga 100rb #PromoGuncangTokopedia #tokopehadiah Kalau kata taehyung sih @tokopedia promonya mantap jiwa https://t.co/GLvN1S8IUi	1	6
@tokopedia Tokopedia Happy Hour ada di 19.00-20.00 WIB Promo ditunggunya : Promo Diskon 30% + Extra Diskon s.d. Rp.200rb Biar Bisa Checkout lebih murah. #tokopediahappyhour #tokopediahappyhour	1	6
@tokopedia Tokopedia happy hour dari jam 19.00 -20.00 jangan lupa promo diskon 30 % aja #tokopediahappyhour	1	6
@tokopedia Tokopedia Happy Hour di jam 19.00-20.00 promo 30% plus extra potongan harga hingga 200ribu dan bebas ongkir dong #tokopediahappyhour -14	1	6
@tokopedia Tokopedia Happy Hour hanya 1 Jam 19.00-20.00 WIB !! Yang paling aku tunggu promo diskon 30% Karena bisa belanja dengan harga lebih hemat dan bikin wishlist jadi lebih terjangkau. Semoga bisa dapat kesempatan menang biar makin semangat belanja #tokopediahappyhour https://t.co/fjdgeWJSgI	1	6
@tokopedia Tokopedia Hour dimulai pada jam 19.00 WIB promo diskon 30% + extra diskon s.d 200rb #tokopediahappyhour	1	6
@tokopedia Voucher diskon 30% setiap pukul 19.00 WIB Ekstra diskon hingga Rp200.000 seharian Bebas ongkir. Mau beli sabun cuci muka buat Mengurangi risiko jerawat dan Membersihkan pori-pori kulit biar wajah gw makin kincolonggg supaya pacar wee makin sayang #tokopediahappyhour https://t.co/jWOw7UP92u	1	1
@univeurseon sini kak paketan dapat diskon banyak total 125k aja sung dikerjakan no antri free req hero auto wsws no wlwl and bergaransi	1	6
@xkode06 Promo transportasi pelantikan presiden & wakil presiden 20 Oktober 2024 *Naik commuter Line Jabodetabek Rp.1 minimal saldo mengendap Rp.5000 di kartu e-money *Transjakarta Rp.1 *MRT Rp.1 *LRT Jakarta ( rute veledrome-kelapa gading) Rp.1 https://t.co/H2Q5orHgzR	1	5
@zein_chandra20 @zein_chandra20 Halo Sahabat @zein_chandra20 dapat kami informasikan untuk benefit Program Spesial HUT Bank Mandiri Ke-26 sbb: 1. Promo Spesial Serba 26 di Berbagai Merchant Favorit 2. Diskon 26% di Berbagai Merchant di Livin SUKHA 3. Promo Special Transaksi Pakai Livin	1	6
[Absen Hari ke-6] Voucher Termurah di Shopee *Diskon 50% s/d 100k minbel 50k *kemungkinan ada setiap hari selama event 11.11?? https://t.co/z3c5QFDYu2	1	6
[Kemungkinan Restock Jam 12:00] Kupon Weekend Sale Tokopedia 19 Okt ⏰️ 12:00 Khusus Produk Kesehatan Perawatan &  Kecantikan Cepet2an klaim &  pake siapin produknya dari skrg Diskon 50% s/d 30rb minbel 50rb https://t.co/2YlesOBm1E Rekomendasi toko-toko: Wings (GIV https://t.co/Vd5W7zJ1zw	1	1
[Kemungkinan restock jam 12:00] Voucher Diskon 50% s/d 30k minbel 50k *Cepet-cepetan klaim *Hanya berlaku untuk produk Kecantikan Kesehatan &  Perawatan Tubuh Link Voucher https://t.co/Hb7yBzkJXu ------ *Rekomendasi Toko Kesehatan Century Healthcare https://t.co/yXqkp2xosG https://t.co/tTLiQrXdaL	1	1
[Kemungkinan Restock] Voucher Diskon 50% s/d 30RB ⏰12:00 | 19 Okt *Min. Belanja 50RB *Cepet cepetan klaim? *Berlaku untuk kategori Produk kecantikan kesehatan &  perawatan tubuh Link Voucher https://t.co/9MveYbyMtQ ------- Rekomendasi toko beauty cek disini: https://t.co/LrKzDKAVnU	1	1
[Klaim] Diskon 50% s/d 100RB *Min. Belanja 100RB *Dapat digunakan pukul 00 12 & 20 25 Okt *Berlaku untuk semua kategori produk Klaim semua Vouchernya disini https://t.co/ZU2movOrvQ https://t.co/A4vHdWxZro	1	6
[Pengingat] Diskon 50% s/d 100RB ⏰12:00 | 19 Okt *Min. Belanja 100RB *Khusus produk Termurah dishopee *Klaim tanpa Refresh pukul 12:00 https://t.co/qyvKvWH1ZI Link browser: https://t.co/rvqEggBquv Cari produk didalem voucher 50% s/d 10rb klaim disini https://t.co/7Exi3gjwmy https://t.co/PeKbK3donb	1	6
[Pengingat] Diskon Live 50% s/d 10rb ⏰12:00 | 19 Okt *Min. Belanja 20rb *Berlaku untuk produk Live xtra *cepet cepetan pake (lumayan gaib) tissue/perabotan https://t.co/UYDQgf8IDo Jajanan https://t.co/ZOlLZ1nTVG Rekomendasi Toko Live xtra lain disini https://t.co/DrqUvCmvRX https://t.co/1Zqs7LfzY9	1	6
[PP] niii gojek kalo ngasi promo sedekah kahh atau gmnn? aku iseng pake goride kann dan pake kode YUKNGAMPUS karna males motoran panas bgtt dan bayangin masa dari ngijo sampe FH cuma 6k woiii murah bgtt https://t.co/TsaxYaawwT	1	5
[Reminder] Voucher Shopee Live XTRA *Diskon 50% s/d 10k minbel 20k *Berlaku mulai jam 12:00 & 20:00 *Hanya berlaku untuk produk bertanda Live XTRA *Rekomendasi toko makanan ringan https://t.co/PNbSmmB19g https://t.co/iZFu9B3zP1 https://t.co/J9hz2vRHPR https://t.co/hC9UAhB0fn	1	6
[Reminder] Voucher Termurah Shopee 19 Okt ⏰ 12:00 sampai habis Diskon 50% s/d 100rb minbel 100rb Siapin produknya dari sekarang Klaim tanpa refresh di sini: https://t.co/KjrB6kMvtV Untuk cek produk yg nempel kemungkinan bisa lewat voucher termurah 50% s/d 10rb di https://t.co/zTsIdiJd2w	1	6
[Sesi 2/2] Shopee Pilih Lokal Day 17 Okt ⏰️ 16:30 Voucher Diskon 50rb minbel 50rb Khusus produk bertanda Pilih Lokal Refresh & klaim pada jamnya https://t.co/AzBiEG0YcV Halaman Promo https://t.co/sGsSeHEmlm https://t.co/vqyAQClEG1	1	6
[Sesi 2] Diskon 100% s/d 50RB | 17 Okt *Min. Belanja 50RB? *Hanya berlaku untuk produk bertanda Pilih Lokal *Voucher aktif pukul 16:30? Klaim voucher perlu Refresh disini https://t.co/ADiwTumfMw Browser: https://t.co/1tuWYm6uAU https://t.co/cEflVe37nO	1	6
[Update] Sepatu Aerostreet jd sekitar 80rb Pake kupon diskon 20%/15% tersedia berbagai ukuran Daftar Produk (ada 8) https://t.co/wMa7mMLoyr Produk lain cek toko https://t.co/Kr3rExTSO1 https://t.co/48c4wZME1w	1	3
14 Kode Promo Gojek Hari ini 19 Oktober 2024: Diskon OTW Bandara 9 Persen GoCar Rp12 Ribu Cashback GoPay 15% https://t.co/WYyyamDhYR	1	5
3pcs cuma 109rb Satunya 30rb an https://t.co/GETb0ZItKk https://t.co/P1kVOj58Aj	1	6
‼ INFO PROMO BUKU ‼ Coba deh kalian cek akun tokped kalian ada voucher WIB sampe 50rb! Potongannya lumayan bgttt Katanya nanti bakal ada lagi pas di Guncang 10.10 juga https://t.co/o7M5ECuB7n	1	6
⏰09.00 Diskon 50% s.d 100rb minbel 15rb Kode WETB100A Khusus toko wet brush⬇️ https://t.co/OjmhZprgO8 stok terbatas bisa siapin dulu produknya tidak berlaku untuk produk flash sale happy hour https://t.co/1Fb8eKHlaK	1	1
⏰12.00 s.d. habis Kode BEAUTYS19 Diskon 20% s.d. 100rb minbel 30rb Kategori kecantikan dan perawatan tubuh Rekomendasi SKIN1004 https://t.co/PawtEyNW4E Cetaphil https://t.co/irWFjjj8BR Elformula https://t.co/XyTWNg7QJD COSRX https://t.co/zaKqgLEnnx Deorex https://t.co/xR8ULXR2DP	1	1
⏰️12:00 WIB Klaim Tanpa Refresh Voucher Termurah di Shopee https://t.co/TpwjlCaW6J DISKON 50% s/d 100RB minbel 100k cara cari produknya https://t.co/2jfTdgY1tb https://t.co/85TtEgmS0d	1	6
Abis belanja pertama dapet lagi diskon 15RB buat pulsa/tagihan! Yuk pake link referral aku langsung belanja deh! https://t.co/N7T4IPHZZy # #Tokopedia via @Tokopedia	1	6
ada yg mau gaa adidas ori cowo belum pernah dipake (beli di official store adidas) harga 359 ajaa diskon 5% pake shopee video. di ecommerce masih 450+++ https://t.co/209eKK9Tgd	1	3
Akan ada 2 promo khusus: Rp15.000 - dapat 3 buku (*varian judul bebas pilih dalam gambar) Rp25.000 - dapat 3 buku (*varian judul bebas pilih dalam gambar) Catat dan ingat! - Periode promo 11-15 Oktober 2024 - Stok terbatas - Cuma sekali! https://t.co/WKBvAOmgB3	1	6
Akhirnya dapat lagi Yuk share yang dapat juga diskon termurah di shopee https://t.co/p7pRNHmqRs	1	6
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: (READY STOCK) RAHAYU COUPLE TENUN BLACK SPRING - DRESS TENUN - BAJU TENUN TERBARU Harga Produk: Rp299.000 Harga Diskon: Rp173.712 Link disini https://t.co/5kkZTh7RaP https://t.co/iqrLVt8QaY	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: . promo SETELAN BAJU DAN ROK WANITA MEWAH TERBARU KEKINIAN ZAVIKA SOFYA KALEA INNARA ERMA NADIA KINAYA VANIA Harga Produk: Rp180.000 Harga Diskon: Rp113.070 | https://t.co/DQUpgEjKu1	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: 1 box isi 6 pcs Celana Dalam anak Laki laki Agree Kids NGS C18 Harga Produk: Rp77.834 Harga Diskon: Rp59.872 | https://t.co/GT71tlQr1T	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: 60RIBU DAPAT 3 PCS CELANA CARGO PENDEK PRIA DISTRO CELANA PENDEK COWOK PINGGANG RIB CELANA LAKI LAKI Harga Produk: Rp25.000 Harga Diskon: Rp16.065 | https://t.co/Z5UPupJFEO	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: ATASAN BAJU RAJUT WANITA lengan kancing Baju Rajut Wanita Kaos Import wanita lengan panjang Harga Produk: Rp90.000 Harga Diskon: Rp27.933 | https://t.co/7xEA33JXhu	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: baju Setelan Anak Perempuan // Setelan Pita Pompom 1 - 6 Thn Harga Produk: Rp119.000 Harga Diskon: Rp33.670 | https://t.co/pRTsRV9JW9	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: BAJU SETELAN ANAK PERUMPUAN MODEL BENANG SIRSAK GAMBAR VIRAL LABUBU Harga Produk: Rp45.000 Harga Diskon: Rp15.980 | https://t.co/OUJo4xLiEx	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: BEATRICE DRESS Baju Pakaian Sepatu Bonnet Anak Cewe Lucu Murah Terlaris Cod Babee Baby Shop jisoo authentic Harga Produk: Rp123.000 Harga Diskon: Rp57.517 | https://t.co/o4s93tCaNe	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: BROGUY Celana Cargo Pendek Pria Harga Produk: Rp145.000 Harga Diskon: Rp107.500 | https://t.co/ZVmfpaaDuP	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Cargo Denim Pasir Putih Highwaist Loose Celana Jeans Wanita Korea(realpict) Harga Produk: Rp98.000 Harga Diskon: Rp59.000 | https://t.co/CXAWWJWz4G	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Celana Blackhawk Tactical outdoor / pdl/ celana cargo / celana panjang Harga Produk: Rp90.000 Harga Diskon: Rp47.266 | https://t.co/epg3pJdFKi	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Celana Cargo Pendek Fleece distro santai Harga Produk: Rp125.000 Harga Diskon: Rp69.201 | https://t.co/zqJ0CqF3IF	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: CELANA JEANS LEA 606 Orange Label 100% ORIIGINAL!! Harga Produk: Rp650.000 Harga Diskon: Rp400.000 | https://t.co/iNriqJNaP6	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Celana Jeans Picasso Skinny Harga Produk: Rp435.000 Harga Diskon: Rp300.000 | https://t.co/8qGoyohI8w	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Celana Jeans Pria Panjang Standar Hitam/ Celana Levi s Cowok Hitam Slimpit -Celana Jeans Pria Rebel One Paling Laris dan Hits Harga Produk: Rp310.000 Harga Diskon: Rp119.500 | https://t.co/xVFjGQf0vY	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Celana Jeans Wanita Cutbray Highwaist Bahan Melar Stretch Korean Style Hangover Denim Premium Harga Produk: Rp110.000 Harga Diskon: Rp90.090 | https://t.co/EH3lhhncD7	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: CELANA KANTOR SLIMFIT EMPUK DAN ELASTIS CELANA KERJA PRIA KAIN WOOL Harga Produk: Rp75.000 Harga Diskon: Rp60.000 | https://t.co/BMIwdIu7KH	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: CELANA OVERALL WANITA JEANS CELANA OVERALL WANITA JUMPSUIT CELANA OVERALL WANITA KEKINIAN Harga Produk: Rp99.900 Harga Diskon: Rp55.900 | https://t.co/lukCdTDMmj	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Celana Panjang Anak Cargo Umur 6-15 Tahun-KAIN TWILL non strit bahan katun tuwill thrasher TOKO ALWY Harga Produk: Rp62.788 Harga Diskon: Rp48.299 | https://t.co/C5mfshffKV	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Celana Pendek Pria Cowok Dewasa Pinggang Karet Kolor Boardshort Cargo Pants Harga Produk: Rp69.999 Harga Diskon: Rp54.177 | https://t.co/iwUcPdtw0q	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: CELANA ROK MODEL TERBARU/KOREAN PANTS Harga Produk: Rp49.700 Harga Diskon: Rp33.800 | https://t.co/xT17BXdjPo	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Cetaphil Gentle Skin Cleanser 500ml dengan Niacinamide Glycerin dan Panthenol Sabun Pembersih Muka Untuk Segala Jenis Kulit Harga Produk: Rp286.000 Harga Diskon: Rp204.900 | https://t.co/KwfqCXE06N	1	1
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Couple Tenun Raisa Black Ivory -Baju Tenun Terbaru (Harga Terpisah) Harga Produk: Rp245.000 Harga Diskon: Rp156.794 https://t.co/DV999Xlu9r https://t.co/2deur46ugH	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Defect Sale Celana Sweatpants Jogger / Warna dan Ukuran Dikirim Random Harga Produk: Rp32.900 Harga Diskon: Rp32.900 | https://t.co/vpKlGttU5J	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Dianara Tunik / Tunik Terbaru Kekinian 2024 / Baju Atasan Wanita Modis / Tunik Jumbo L/XL Harga Produk: Rp100.020 Harga Diskon: Rp40.900 | https://t.co/tgr6mx2OLL	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: EL STORE - SEPATU DOCMART SANDAL WANITA SALLY MODERN TALI PITA CANTIK Harga Produk: Rp126.000 Harga Diskon: Rp41.208 | https://t.co/6YtPeVFPLZ	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Finally Found You! HYDRICEING & BRIGHTENING Essence Booster - Serum Infused Toner Untuk Semua Jenis Kulit 100mL Harga Produk: Rp149.000 Harga Diskon: Rp134.000 | https://t.co/J9DPZ4DLTc	1	1
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: GLAMOURE - GAMIS SETELAN MUSLIMAT NU SERAGAM PENGAJIAN WANITA TERBARU 2024 SANWOS HIJAU TUA SEDANG Harga Produk: Rp90.000 Harga Diskon: Rp90.000 | https://t.co/IPIEtvolpy	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: gorden 1set poni pintu dan jendela bahan premium kenari dof dan glosi Harga Produk: Rp130.000 Harga Diskon: Rp65.000 | https://t.co/hNZfhS30Wi	1	6
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: https://t.co/xAlj6ds4wL Pakaian Wanita Baju Tidur Wanita Import Daster Motif Kartun Longgar Korea Fit to XXL 4017 Harga Produk: Rp100.000 Harga Diskon: Rp25.175 | https://t.co/yxtMCLtFPm	1	3
Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: JEOFANA-Celana Kulot Wanita Highwaist Sena AllSize FIT TO XXXXXL JUMBO Best Seller Harga Produk: Rp180.000 Harga Diskon: Rp83.011 | https://t.co/WQ8DeaGg5x	1	3
